year,ssb,pred_rec,log_rec_devs,log_mean_rec,sigr
1960,202.428,23.439,-0.306801926,2.74120175,1.2
1961,231.385,22.3332,-0.355127626,2.74120175,1.2
1962,262.264,19.71,-0.480075362,2.74120175,1.2
1963,286.598,17.2566,-0.613006568,2.74120175,1.2
1964,307.115,15.5827,-0.715039887,2.74120175,1.2
1965,321.512,14.8935,-0.76027803,2.74120175,1.2
1966,326.677,14.9638,-0.755564734,2.74120175,1.2
1967,322.095,15.6618,-0.709974974,2.74120175,1.2
1968,311.752,16.4776,-0.659202159,2.74120175,1.2
1969,292.561,17.5216,-0.597766814,2.74120175,1.2
1970,269.221,19.2027,-0.506152248,2.74120175,1.2
1971,244.856,19.8478,-0.47310981,2.74120175,1.2
1972,219.077,17.2917,-0.610974595,2.74120175,1.2
1973,190.222,14.1564,-0.811031649,2.74120175,1.2
1974,170.892,13.1057,-0.888152344,2.74120175,1.2
1975,153.793,13.8344,-0.834044814,2.74120175,1.2
1976,140.161,12.2457,-0.956024571,2.74120175,1.2
1977,126.149,9.56958,-1.202612201,2.74120175,1.2
1978,117.626,10.479,-1.111830711,2.74120175,1.2
1979,115.919,69.0693,0.773909152,2.74120175,1.2
1980,114.548,42.5032,0.288377956,2.74120175,1.2
1981,115.861,16.0748,-0.683949019,2.74120175,1.2
1982,119.613,49.0491,0.431620975,2.74120175,1.2
1983,128.659,38.1808,0.181131751,2.74120175,1.2
1984,142.943,23.0053,-0.32547815,2.74120175,1.2
1985,159.535,6.91247,-1.527875357,2.74120175,1.2
1986,175.784,21.3135,-0.401858932,2.74120175,1.2
1987,183.289,10.9726,-1.065799663,2.74120175,1.2
1988,183.264,4.21047,-2.023627839,2.74120175,1.2
1989,176.223,5.30665,-1.79224083,2.74120175,1.2
1990,165.423,11.9382,-0.981462559,2.74120175,1.2
1991,153.271,19.3114,-0.500506853,2.74120175,1.2
1992,141.164,5.81319,-1.701072952,2.74120175,1.2
1993,129.714,20.9495,-0.419084839,2.74120175,1.2
1994,117.831,5.47684,-1.760673849,2.74120175,1.2
1995,107.902,6.16159,-1.642866881,2.74120175,1.2
1996,101.138,10.143,-1.144417455,2.74120175,1.2
1997,96.4803,18.2631,-0.556319672,2.74120175,1.2
1998,92.983,8.11386,-1.367628034,2.74120175,1.2
1999,89.8929,31.0809,-0.024608837,2.74120175,1.2
2000,87.1454,13.7726,-0.838521766,2.74120175,1.2
2001,84.3488,13.6199,-0.849672747,2.74120175,1.2
2002,84.0669,37.1254,0.153098646,2.74120175,1.2
2003,85.255,11.8711,-0.987096916,2.74120175,1.2
2004,87.237,7.90648,-1.393518945,2.74120175,1.2
2005,89.5543,10.9407,-1.068713203,2.74120175,1.2
2006,92.4896,5.99374,-1.670486268,2.74120175,1.2
2007,95.1437,8.8711,-1.278403248,2.74120175,1.2
2008,95.8382,8.5243,-1.31828123,2.74120175,1.2
2009,94.9271,13.379,-0.867513545,2.74120175,1.2
2010,92.8252,19.9638,-0.467279125,2.74120175,1.2
2011,90.0705,8.56285,-1.31376898,2.74120175,1.2
2012,86.6871,10.7507,-1.086232337,2.74120175,1.2
2013,83.3254,3.69565,-2.154045108,2.74120175,1.2
2014,80.9374,7.34862,-1.466689658,2.74120175,1.2
2015,80.0481,12.6576,-0.922946963,2.74120175,1.2
2016,79.5985,49.3858,0.438460346,2.74120175,1.2
2017,79.6227,17.4014,-0.604653836,2.74120175,1.2
2018,80.4875,93.9278,1.081324417,2.74120175,1.2
2019,83.9822,55.6049,0.557068737,2.74120175,1.2
2020,92.6437,69.8947,0.785788371,2.74120175,1.2
2021,107.469,15.5056,,,
