indicator,year,n,mean_wt_resid,se_wt_resid
BSAI Fishery: Large females >= 75 cm,1999,125,-0.05049445547954345,0.018653568362428923
BSAI Fishery: Large females >= 75 cm,2000,143,-6.133862543313766e-4,0.012729943284295319
BSAI Fishery: Large females >= 75 cm,2001,90,-0.0200006054070435,0.01317500435106321
BSAI Fishery: Large females >= 75 cm,2002,151,-0.029027269583464573,0.0172148332991453
BSAI Fishery: Large females >= 75 cm,2003,172,0.002241296377878532,0.009353132705437094
BSAI Fishery: Large females >= 75 cm,2004,142,0.01488088794842274,0.010435281645439717
BSAI Fishery: Large females >= 75 cm,2005,62,0.001133893481082368,0.02067865875895576
BSAI Fishery: Large females >= 75 cm,2006,64,-0.08313538198392743,0.02767955249510187
BSAI Fishery: Large females >= 75 cm,2007,94,-0.03798182405387583,0.01601779144492202
BSAI Fishery: Large females >= 75 cm,2008,137,-0.03051264128646706,0.010735616137655618
BSAI Fishery: Large females >= 75 cm,2009,335,-0.03182729493104149,0.006679862434766473
BSAI Fishery: Large females >= 75 cm,2010,225,-0.012250214361080489,0.009192759323490118
BSAI Fishery: Large females >= 75 cm,2011,152,0.009634999634872738,0.010894695174602686
BSAI Fishery: Large females >= 75 cm,2012,240,0.024885272032350105,0.008656896265836666
BSAI Fishery: Large females >= 75 cm,2013,459,0.021318677919435328,0.006094312857852362
BSAI Fishery: Large females >= 75 cm,2014,125,-0.031645222770448,0.011683982059309242
BSAI Fishery: Large females >= 75 cm,2015,221,-0.03968774118956804,0.010956372250698471
BSAI Fishery: Large females >= 75 cm,2016,55,-0.010372171890947496,0.014571697888062186
BSAI Fishery: Large females >= 75 cm,2017,1,NA,NA
BSAI Fishery: Large females >= 75 cm,2018,3,NA,NA
BSAI Fishery: Large females >= 75 cm,2019,1,NA,NA
GOA Fishery: Large females >= 75 cm,1999,317,0.014381741234438009,0.008075785894037225
GOA Fishery: Large females >= 75 cm,2000,473,0.0409595777712236,0.0062432792056103205
GOA Fishery: Large females >= 75 cm,2001,416,-0.0022890847948257484,0.008736685214972372
GOA Fishery: Large females >= 75 cm,2002,342,0.030158380954234506,0.007367088279609087
GOA Fishery: Large females >= 75 cm,2003,334,-0.0015650419559798548,0.007935230205577902
GOA Fishery: Large females >= 75 cm,2004,267,-0.018471263259335558,0.010101968180312015
GOA Fishery: Large females >= 75 cm,2005,316,-0.006129094148508449,0.009020522103321783
GOA Fishery: Large females >= 75 cm,2006,380,-0.030000856907234624,0.006924060413001495
GOA Fishery: Large females >= 75 cm,2007,349,-0.027399622449757074,0.006970127850554678
GOA Fishery: Large females >= 75 cm,2008,373,-0.011131477991152028,0.007959156498595157
GOA Fishery: Large females >= 75 cm,2009,302,-0.019212246705508033,0.0077763986175073295
GOA Fishery: Large females >= 75 cm,2010,304,-0.025497260401315433,0.007903807263246864
GOA Fishery: Large females >= 75 cm,2011,237,-0.007423461186571588,0.008747894937610839
GOA Fishery: Large females >= 75 cm,2012,341,-0.038207642065638654,0.006471443554025161
GOA Fishery: Large females >= 75 cm,2013,341,-0.047947982297972876,0.009304638267960689
GOA Fishery: Large females >= 75 cm,2014,385,-0.02340229301010803,0.007681476309941745
GOA Fishery: Large females >= 75 cm,2015,409,-0.03656865597842175,0.007362924505913804
GOA Fishery: Large females >= 75 cm,2016,379,5.028699253923181e-4,0.00831481326203021
GOA Fishery: Large females >= 75 cm,2017,277,-0.01481461935556717,0.007731887502522673
GOA Fishery: Large females >= 75 cm,2018,261,-0.012089298752215647,0.009368856470284735
GOA Fishery: Large females >= 75 cm,2019,190,-0.010572282624878313,0.011221177128988881
GOA Fishery: Large females >= 75 cm,2020,67,0.01649300506857188,0.017724253562091462
GOA Fishery: Large females >= 75 cm,2021,24,-0.12393072336439341,0.028362350275468816
GOA LL Survey: Age-4 immature females,1996,37,0.004033007635616234,0.01615014009928995
GOA LL Survey: Age-4 immature females,1997,23,-0.016788750921442063,0.015311833528938721
GOA LL Survey: Age-4 immature females,1998,54,-0.003580054444683072,0.013391515871521775
GOA LL Survey: Age-4 immature females,1999,60,-0.011507917814529721,0.010480586476582591
GOA LL Survey: Age-4 immature females,2000,37,0.013828938306602742,0.014036603852485967
GOA LL Survey: Age-4 immature females,2001,97,0.03425151419518168,0.010045520900507919
GOA LL Survey: Age-4 immature females,2002,33,-0.0022738816630674327,0.01224446197051872
GOA LL Survey: Age-4 immature females,2003,29,-0.013116669574248455,0.01111928329448534
GOA LL Survey: Age-4 immature females,2004,73,0.03236766442386583,0.014625469482746302
GOA LL Survey: Age-4 immature females,2005,20,-0.008875054149704163,0.03144615996955846
GOA LL Survey: Age-4 immature females,2006,18,0.014962330977168349,0.021962429611699016
GOA LL Survey: Age-4 immature females,2007,33,-0.019893800749710505,0.012047683772693992
GOA LL Survey: Age-4 immature females,2008,32,0.01647552983527017,0.013910320671645155
GOA LL Survey: Age-4 immature females,2009,21,0.04336416585592924,0.032655349331570584
GOA LL Survey: Age-4 immature females,2010,19,0.009345286683838827,0.018626742956914438
GOA LL Survey: Age-4 immature females,2011,28,-0.024896630232301903,0.012508628005991637
GOA LL Survey: Age-4 immature females,2012,36,0.012408361832115068,0.01327452106367885
GOA LL Survey: Age-4 immature females,2013,23,-0.008864616169894075,0.014626555462657318
GOA LL Survey: Age-4 immature females,2014,22,0.009671526286628186,0.018960854640736925
GOA LL Survey: Age-4 immature females,2015,16,-0.04453957174316936,0.015815717404677392
GOA LL Survey: Age-4 immature females,2016,22,-0.0017549751464487914,0.019602676579054974
GOA LL Survey: Age-4 immature females,2017,54,-0.06285646702042552,0.010438466475157039
GOA LL Survey: Age-4 immature females,2018,144,-0.015385535534036973,0.006107276485254498
GOA LL Survey: Age-4 immature females,2019,75,-0.029486101298169556,0.009275552695634159
GOA LL Survey: Age-4 immature females,2020,191,-0.008944443179039299,0.0058310137453904225
