YEAR,INDICATOR_NAME,DATA_VALUE
1999,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,0.01423744312073718
2000,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,0.040804096739487164
2001,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.002450478937939808
2002,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,0.02999233949694883
2003,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.001736913618309982
2004,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.01865518239790612
2005,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.006269542333685393
2006,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.0301524642567779
2007,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.027558459758754848
2008,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.01130351183993046
2009,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.01932863711927122
2010,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.025663584725268005
2011,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.007553828380119036
2012,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.03835384548280272
2013,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.04810883084224651
2014,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.023562504682736643
2015,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.036767831104018274
2016,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,3.370212402549715e-4
2017,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.015001368867356564
2018,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.012285352616450786
2019,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.010787630141344854
2020,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,0.01632967581509517
2021,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,-0.025290513750637348
2022,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,NA
